Ticker,Calls or Puts,Today Date,Time of Retrieval,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Days left to Expiration,Underlying Price
SPY,Puts,2019-01-27,16:20:05,SPY190128P00200000,200.0,USD,0.01,0.0,0.0,30,169,0.0,0.01,REGULAR,2019-01-28,2019-01-18 20:33:49,1.21875390625,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00201000,201.0,USD,0.01,0.0,0.0,30,130,0.0,0.01,REGULAR,2019-01-28,2019-01-18 20:30:47,1.1875040625,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00204000,204.0,USD,0.04,0.0,0.0,2,61,0.0,0.01,REGULAR,2019-01-28,2019-01-09 22:23:03,1.15625421875,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00205000,205.0,USD,0.01,0.0,0.0,50,278,0.0,0.01,REGULAR,2019-01-28,2019-01-22 22:29:19,1.125004375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00206000,206.0,USD,0.01,0.0,0.0,23,24,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:35:01,1.09375453125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00207000,207.0,USD,0.01,0.0,0.0,14,15,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:34:02,1.09375453125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00208000,208.0,USD,0.01,0.0,0.0,46,590,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:29:57,1.0625046875000002,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00209000,209.0,USD,0.01,0.0,0.0,156,307,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:30:46,1.0625046875000002,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00210000,210.0,USD,0.01,0.0,0.0,152,492,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:32:35,1.0312548437500002,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00211000,211.0,USD,0.01,0.0,0.0,267,268,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:32:40,1.000005,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00212000,212.0,USD,0.01,0.0,0.0,6,179,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:34:12,0.98437515625,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00214000,214.0,USD,0.03,0.0,0.0,200,210,0.0,0.01,REGULAR,2019-01-28,2019-01-15 02:28:04,0.937500625,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00215000,215.0,USD,0.01,0.0,0.0,12,36,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:33:23,0.937500625,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00216000,216.0,USD,0.05,0.0,0.0,200,201,0.0,0.01,REGULAR,2019-01-28,2019-01-11 02:34:04,0.9062509375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00217000,217.0,USD,0.01,0.0,0.0,74,319,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:17:09,0.9062509375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00218000,218.0,USD,0.02,0.0,0.0,500,162,0.0,0.01,REGULAR,2019-01-28,2019-01-17 21:54:50,0.87500125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00219000,219.0,USD,0.03,0.0,0.0,500,560,0.0,0.01,REGULAR,2019-01-28,2019-01-15 22:05:56,0.8437515624999999,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00220000,220.0,USD,0.01,0.0,0.0,2,302,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:16:57,0.8437515624999999,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00221000,221.0,USD,0.01,0.0,0.0,12,240,0.0,0.01,REGULAR,2019-01-28,2019-01-23 01:54:08,0.8125018749999999,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00223000,223.0,USD,0.02,0.0,0.0,61,861,0.0,0.01,REGULAR,2019-01-28,2019-01-23 01:48:59,0.7812521875,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00224000,224.0,USD,0.1,0.0,0.0,54,67,0.0,0.01,REGULAR,2019-01-28,2019-01-11 02:34:14,0.7656273437500001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00225000,225.0,USD,0.01,0.0,0.0,10,1019,0.0,0.01,REGULAR,2019-01-28,2019-01-22 22:22:21,0.7500025,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00226000,226.0,USD,0.01,0.0,0.0,180,190,0.0,0.01,REGULAR,2019-01-28,2019-01-23 01:20:14,0.7187528125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00227000,227.0,USD,0.05,0.0,0.0,20,422,0.0,0.01,REGULAR,2019-01-28,2019-01-16 02:39:46,0.7187528125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00228000,228.0,USD,0.01,0.0,0.0,34,498,0.0,0.01,REGULAR,2019-01-28,2019-01-22 23:24:05,0.6875031250000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00229000,229.0,USD,0.02,0.0,0.0,125,395,0.0,0.01,REGULAR,2019-01-28,2019-01-18 21:12:19,0.6718782812500002,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00230000,230.0,USD,0.01,0.0,0.0,1,1700,0.0,0.01,REGULAR,2019-01-28,2019-01-23 22:24:38,0.6562534375000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00231000,231.0,USD,0.02,0.0,0.0,115,316,0.0,0.01,REGULAR,2019-01-28,2019-01-18 21:13:00,0.64062859375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00232000,232.0,USD,0.01,0.0,0.0,1,801,0.0,0.01,REGULAR,2019-01-28,2019-01-23 21:17:21,0.6250037500000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00233000,233.0,USD,0.01,0.0,0.0,20,765,0.0,0.01,REGULAR,2019-01-28,2019-01-23 20:00:57,0.5937540625000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00234000,234.0,USD,0.02,0.0,0.0,10,1763,0.0,0.01,REGULAR,2019-01-28,2019-01-24 00:25:55,0.5937540625000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00235000,235.0,USD,0.02,0.0,0.0,6,1515,0.0,0.01,REGULAR,2019-01-28,2019-01-23 21:19:33,0.5625043750000001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00236000,236.0,USD,0.01,-0.01,-50.0,1,1608,0.0,0.01,REGULAR,2019-01-28,2019-01-25 20:10:48,0.5468795312500001,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00237000,237.0,USD,0.02,0.01,100.0,1,142,0.0,0.01,REGULAR,2019-01-28,2019-01-25 20:10:48,0.5312546875,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00238000,238.0,USD,0.01,0.0,0.0,5,542,0.0,0.01,REGULAR,2019-01-28,2019-01-24 21:41:44,0.51562984375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00239000,239.0,USD,0.14,0.0,0.0,6,311,0.0,0.01,REGULAR,2019-01-28,2019-01-16 20:11:57,0.500005,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00240000,240.0,USD,0.01,0.0,0.0,8,1102,0.0,0.01,REGULAR,2019-01-28,2019-01-25 20:57:23,0.507817421875,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00240500,240.5,USD,0.04,0.0,0.0,27,230,0.0,0.01,REGULAR,2019-01-28,2019-01-23 02:44:32,0.500005,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00241000,241.0,USD,0.02,0.0,0.0,98,216,0.0,0.01,REGULAR,2019-01-28,2019-01-23 23:41:20,0.49219257812500006,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00242000,242.0,USD,0.02,0.0,0.0,36,370,0.0,0.01,REGULAR,2019-01-28,2019-01-23 23:43:11,0.4687553125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00242500,242.5,USD,0.12,0.0,0.0,21,49,0.0,0.01,REGULAR,2019-01-28,2019-01-18 01:22:27,0.46094289062500005,False,1,265.78
